id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
416,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
417,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
418,"Margondanahalli,Bangalore",2,1000,1.2
419,"Hancharahalli Village,Bangalore",3,1900,1.1
420,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
421,"Mattanahalli,Bangalore",3,1450,0.79
422,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
423,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
424,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
425,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
426,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
427,"Hemmigepura,Bangalore",3,1500,1.3
428,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
429,"Mavalli,Bangalore",10,8000,5.5
430,"Harapanahalli,Bangalore",4,6000,3.1
431,"BEL, Vidyaranyapura,Bangalore",9,12321,9
432,"Cheemasandra,Bangalore",3,920,0.8
433,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
434,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
435,"Yadavanahalli,Bangalore",8,4800,1.1
436,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
437,"Yelahanka,Bangalore",5,4000,6.6
438,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
439,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
440,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
441,"Mattanahalli,Bangalore",3,1450,0.79
442,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
443,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
444,"Yadavanahalli,Bangalore",8,4800,1.1
445,"Harapanahalli,Bangalore",4,6000,3.1
446,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
447,"Cheemasandra,Bangalore",3,920,0.8
448,"Hemmigepura,Bangalore",3,1500,1.3
449,"BEL, Vidyaranyapura,Bangalore",9,12321,9
450,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
451,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
452,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
453,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
454,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
455,"Mavalli,Bangalore",10,8000,5.5
456,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
457,"Margondanahalli,Bangalore",2,1000,1.2
458,"Hancharahalli Village,Bangalore",3,1900,1.1
459,"Rajajinagar,Bangalore",7,5000,4.3
460,"Kattigenahalli,Bangalore",2,3000,1.08
461,"Mattanahalli,Bangalore",3,1450,0.79
462,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
463,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
464,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
465,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
466,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
467,"Hemmigepura,Bangalore",3,1500,1.3
468,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
469,"Mavalli,Bangalore",10,8000,5.5
470,"Harapanahalli,Bangalore",4,6000,3.1
471,"BEL, Vidyaranyapura,Bangalore",9,12321,9
472,"Cheemasandra,Bangalore",3,920,0.8
473,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
474,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
475,"Yadavanahalli,Bangalore",8,4800,1.1
476,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
477,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
478,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
479,"Hancharahalli Village,Bangalore",3,1900,1.1
480,"Rajajinagar,Bangalore",7,5000,4.3
481,"Mattanahalli,Bangalore",3,1450,0.79
482,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
483,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
484,"Hemmigepura,Bangalore",3,1500,1.3
485,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
486,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
487,"Mavalli,Bangalore",10,8000,5.5
488,"BEL, Vidyaranyapura,Bangalore",9,12321,9
489,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
490,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
491,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
492,"Harapanahalli,Bangalore",4,6000,3.1
493,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
494,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
495,"Cheemasandra,Bangalore",3,920,0.8
496,"Yadavanahalli,Bangalore",8,4800,1.1
497,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
498,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
499,"Hancharahalli Village,Bangalore",3,1900,1.1
500,"Rajajinagar,Bangalore",7,5000,4.3
501,"Mattanahalli,Bangalore",3,1450,0.79
502,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
503,"Hemmigepura,Bangalore",3,1500,1.3
504,"Mavalli,Bangalore",10,8000,5.5
505,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
506,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
507,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
508,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
509,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
510,"BEL, Vidyaranyapura,Bangalore",9,12321,9
511,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
512,"Harapanahalli,Bangalore",4,6000,3.1
513,"Yadavanahalli,Bangalore",8,4800,1.1
514,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
515,"Cheemasandra,Bangalore",3,920,0.8
516,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
517,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
518,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
519,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
520,"Kada Agrahara ,Bangalore",2,1050,0.75
521,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
522,"Hancharahalli Village,Bangalore",3,1900,1.1
523,"Margondanahalli,Bangalore",2,1000,1.2
524,"Rajajinagar,Bangalore",7,5000,4.3
525,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
526,"Kattigenahalli,Bangalore",2,3000,1.08
527,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
528,"Yelahanka,Bangalore",5,4000,6.6
529,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
530,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
531,"Mattanahalli,Bangalore",3,1450,0.79
532,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
533,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
534,"BEL, Vidyaranyapura,Bangalore",9,12321,9
535,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
536,"Mavalli,Bangalore",10,8000,5.5
537,"Harapanahalli,Bangalore",4,6000,3.1
538,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
539,"Yadavanahalli,Bangalore",8,4800,1.1
540,"Hemmigepura,Bangalore",3,1500,1.3
541,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
542,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
543,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
544,"Cheemasandra,Bangalore",3,920,0.8
545,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
546,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
547,"Kada Agrahara ,Bangalore",2,1050,0.75
548,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
549,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
550,"Yelahanka,Bangalore",5,4000,6.6
551,"Kattigenahalli,Bangalore",2,3000,1.08
552,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
553,"Rajajinagar,Bangalore",7,5000,4.3
554,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
555,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
556,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
557,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
558,"Margondanahalli,Bangalore",2,1000,1.2
559,"Hancharahalli Village,Bangalore",3,1900,1.1
560,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
561,"Mattanahalli,Bangalore",3,1450,0.79
562,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
563,"Mavalli,Bangalore",10,8000,5.5
564,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
565,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
566,"Harapanahalli,Bangalore",4,6000,3.1
567,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
568,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
569,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
570,"Hemmigepura,Bangalore",3,1500,1.3
571,"BEL, Vidyaranyapura,Bangalore",9,12321,9
572,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
573,"Yadavanahalli,Bangalore",8,4800,1.1
574,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
575,"Cheemasandra,Bangalore",3,920,0.8
576,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
577,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
578,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
579,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
580,"Kada Agrahara ,Bangalore",2,1050,0.75
581,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
582,"Hancharahalli Village,Bangalore",3,1900,1.1
583,"Margondanahalli,Bangalore",2,1000,1.2
584,"Rajajinagar,Bangalore",7,5000,4.3
585,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
586,"Kattigenahalli,Bangalore",2,3000,1.08
587,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
588,"Yelahanka,Bangalore",5,4000,6.6
589,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
590,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
591,"Mattanahalli,Bangalore",3,1450,0.79
592,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
593,"Mavalli,Bangalore",10,8000,5.5
594,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
595,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
596,"Harapanahalli,Bangalore",4,6000,3.1
597,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
598,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
599,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
600,"Hemmigepura,Bangalore",3,1500,1.3
601,"BEL, Vidyaranyapura,Bangalore",9,12321,9
602,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
603,"Yadavanahalli,Bangalore",8,4800,1.1
604,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
605,"Cheemasandra,Bangalore",3,920,0.8
606,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
607,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
608,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
609,"Margondanahalli,Bangalore",2,1000,1.2
610,"Hancharahalli Village,Bangalore",3,1900,1.1
611,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
612,"Kada Agrahara ,Bangalore",2,1050,0.75
613,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
614,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
615,"Kattigenahalli,Bangalore",2,3000,1.08
616,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
617,"Rajajinagar,Bangalore",7,5000,4.3
618,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
619,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
620,"Yelahanka,Bangalore",5,4000,6.6
621,"Mattanahalli,Bangalore",3,1450,0.79
622,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
623,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
624,"BEL, Vidyaranyapura,Bangalore",9,12321,9
625,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
626,"Mavalli,Bangalore",10,8000,5.5
627,"Harapanahalli,Bangalore",4,6000,3.1
628,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
629,"Yadavanahalli,Bangalore",8,4800,1.1
630,"Hemmigepura,Bangalore",3,1500,1.3
631,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
632,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
633,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
634,"Cheemasandra,Bangalore",3,920,0.8
635,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
636,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
637,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
638,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
639,"Rajajinagar,Bangalore",7,5000,4.3
640,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
641,"Kada Agrahara ,Bangalore",2,1050,0.75
642,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
643,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
644,"Kattigenahalli,Bangalore",2,3000,1.08
645,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
646,"Hancharahalli Village,Bangalore",3,1900,1.1
647,"Margondanahalli,Bangalore",2,1000,1.2
648,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
649,"Yelahanka,Bangalore",5,4000,6.6
650,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
651,"Mattanahalli,Bangalore",3,1450,0.79
652,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
653,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
654,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
655,"Yadavanahalli,Bangalore",8,4800,1.1
656,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
657,"Cheemasandra,Bangalore",3,920,0.8
658,"Hemmigepura,Bangalore",3,1500,1.3
659,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
660,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
661,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
662,"Harapanahalli,Bangalore",4,6000,3.1
663,"BEL, Vidyaranyapura,Bangalore",9,12321,9
664,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
665,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
666,"Mavalli,Bangalore",10,8000,5.5
667,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
668,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
669,"Hancharahalli Village,Bangalore",3,1900,1.1
670,"Rajajinagar,Bangalore",7,5000,4.3
671,"Margondanahalli,Bangalore",2,1000,1.2
672,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
673,"Kattigenahalli,Bangalore",2,3000,1.08
674,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
675,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
676,"Yelahanka,Bangalore",5,4000,6.6
677,"Kada Agrahara ,Bangalore",2,1050,0.75
678,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
679,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
680,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
681,"Mattanahalli,Bangalore",3,1450,0.79
682,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
683,"Mavalli,Bangalore",10,8000,5.5
684,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
685,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
686,"Harapanahalli,Bangalore",4,6000,3.1
687,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
688,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
689,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
690,"Hemmigepura,Bangalore",3,1500,1.3
691,"BEL, Vidyaranyapura,Bangalore",9,12321,9
692,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
693,"Yadavanahalli,Bangalore",8,4800,1.1
694,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
695,"Cheemasandra,Bangalore",3,920,0.8
696,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
697,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
698,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
699,"Rajajinagar,Bangalore",7,5000,4.3
700,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
701,"Kada Agrahara ,Bangalore",2,1050,0.75
702,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
703,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
704,"Kattigenahalli,Bangalore",2,3000,1.08
705,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
706,"Hancharahalli Village,Bangalore",3,1900,1.1
707,"Margondanahalli,Bangalore",2,1000,1.2
708,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
709,"Yelahanka,Bangalore",5,4000,6.6
710,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
711,"Mattanahalli,Bangalore",3,1450,0.79
712,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
713,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
714,"Yadavanahalli,Bangalore",8,4800,1.1
715,"Harapanahalli,Bangalore",4,6000,3.1
716,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
717,"Cheemasandra,Bangalore",3,920,0.8
718,"Hemmigepura,Bangalore",3,1500,1.3
719,"BEL, Vidyaranyapura,Bangalore",9,12321,9
720,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
721,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
722,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
723,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
724,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
725,"Mavalli,Bangalore",10,8000,5.5
726,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
727,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
728,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
729,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
730,"Kada Agrahara ,Bangalore",2,1050,0.75
731,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
732,"Hancharahalli Village,Bangalore",3,1900,1.1
733,"Margondanahalli,Bangalore",2,1000,1.2
734,"Rajajinagar,Bangalore",7,5000,4.3
735,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
736,"Kattigenahalli,Bangalore",2,3000,1.08
737,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
738,"Yelahanka,Bangalore",5,4000,6.6
739,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
740,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
741,"Mattanahalli,Bangalore",3,1450,0.79
742,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
743,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
744,"Hemmigepura,Bangalore",3,1500,1.3
745,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
746,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
747,"Mavalli,Bangalore",10,8000,5.5
748,"BEL, Vidyaranyapura,Bangalore",9,12321,9
749,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
750,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
751,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
752,"Harapanahalli,Bangalore",4,6000,3.1
753,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
754,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
755,"Cheemasandra,Bangalore",3,920,0.8
756,"Yadavanahalli,Bangalore",8,4800,1.1
757,"Kada Agrahara ,Bangalore",2,1050,0.75
758,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
759,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
760,"Yelahanka,Bangalore",5,4000,6.6
761,"Kattigenahalli,Bangalore",2,3000,1.08
762,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
763,"Rajajinagar,Bangalore",7,5000,4.3
764,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
765,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
766,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
767,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
768,"Margondanahalli,Bangalore",2,1000,1.2
769,"Hancharahalli Village,Bangalore",3,1900,1.1
770,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
771,"Mattanahalli,Bangalore",3,1450,0.79
772,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
773,"Mavalli,Bangalore",10,8000,5.5
774,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
775,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
776,"Harapanahalli,Bangalore",4,6000,3.1
777,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
778,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
779,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
780,"Hemmigepura,Bangalore",3,1500,1.3
781,"BEL, Vidyaranyapura,Bangalore",9,12321,9
782,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
783,"Yadavanahalli,Bangalore",8,4800,1.1
784,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
785,"Cheemasandra,Bangalore",3,920,0.8
786,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
787,"Kada Agrahara ,Bangalore",2,1050,0.75
788,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
789,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
790,"Yelahanka,Bangalore",5,4000,6.6
791,"Kattigenahalli,Bangalore",2,3000,1.08
792,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
793,"Rajajinagar,Bangalore",7,5000,4.3
794,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
795,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
796,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
797,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
798,"Margondanahalli,Bangalore",2,1000,1.2
799,"Hancharahalli Village,Bangalore",3,1900,1.1
