id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1745,"Hancharahalli Village,Bangalore",3,1900,1.1
1746,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1747,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1748,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1749,"Kada Agrahara ,Bangalore",2,1050,0.75
1750,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1751,"Mattanahalli,Bangalore",3,1450,0.79
1752,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1753,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1754,"Yadavanahalli,Bangalore",8,4800,1.1
1755,"Harapanahalli,Bangalore",4,6000,3.1
1756,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1757,"Cheemasandra,Bangalore",3,920,0.8
1758,"Hemmigepura,Bangalore",3,1500,1.3
1759,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1760,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1761,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1762,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1763,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1764,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1765,"Mavalli,Bangalore",10,8000,5.5
1766,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1767,"Kada Agrahara ,Bangalore",2,1050,0.75
1768,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1769,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1770,"Yelahanka,Bangalore",5,4000,6.6
1771,"Mattanahalli,Bangalore",3,1450,0.79
1772,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1773,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1774,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1775,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1776,"Mavalli,Bangalore",10,8000,5.5
1777,"Harapanahalli,Bangalore",4,6000,3.1
1778,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1779,"Yadavanahalli,Bangalore",8,4800,1.1
1780,"Hemmigepura,Bangalore",3,1500,1.3
1781,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1782,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1783,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1784,"Cheemasandra,Bangalore",3,920,0.8
1785,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1786,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1787,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1788,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1789,"Rajajinagar,Bangalore",7,5000,4.3
1790,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
